,toybin0000
1588,0.446544
1589,0.347221
1590,0.445749
1591,0.439905
1592,0.278701
1593,0.309648
1594,0.494781
1595,0.47433
1596,0.46367
1597,0.567794
1598,0.531521
1599,0.518969
1600,0.0652142
1601,0.448927
1602,0.369689
1603,0.459974
1604,0.312801
1605,0.284096
1606,0.414423
1607,0.234961
1608,0.237571
1609,0.478791
1610,0.46799
1611,0.452535
1612,0.479726
1613,0.492776
1614,0.297096
1615,0.763978
1616,0.620737
1617,0.449117
1618,0.325323
1619,0.325323
1620,0.300321
1621,0.314411
1622,0.313424
1623,0.494129
1624,0.354986
1625,0.333139
1626,0.430031
1627,0.375061
1628,0.370251
1629,0.370251
1630,0.275187
1631,0.512407
1632,0.369393
1633,0.449259
1634,0.4539
1635,0.532474
1636,0.549704
1637,0.548674
1638,0.549562
1639,0.555065
1640,0.486366
1641,0.386362
1642,0.384825
1643,0.464371
1644,0.448257
1645,0.260359
1646,0.439055
1647,0.32917
1648,0.360525
1649,0.369718
1650,0.490752
1651,0.38748
1652,0.38648
1653,0.474581
1654,0.325998
1655,0.402536
1656,0.570269
1657,0.480479
1658,0.489655
1659,0.513144
1660,0.277488
1661,0.278394
1662,0.312289
1663,0.47992
1664,0.362915
1665,0.267489
1666,0.511444
1667,0.522052
1668,0.268373
1669,0.407732
1670,0.407732
1671,0.473633
1672,0.497554
1673,0.467349
1674,0.396967
1675,0.392239
1676,0.349738
1677,0.452154
1678,0.394718
1679,0.376284
1680,0.245298
1681,0.212134
1682,0.284915
1683,0.31295
1684,0.314931
1685,0.430758
1686,0.341783
1687,0.484542
1688,0.504947
1689,0.257092
1690,0.421663
1691,0.475317
1692,0.474178
1693,0.454398
1694,0.380899
1695,0.466308
1696,0.338879
1697,0.341174
1698,0.429524
1699,0.387795
1700,0.42002
1701,0.474975
1702,0.301857
1703,0.144973
1704,0.300501
1705,0.320653
1706,0.267827
1707,0.210349
1708,0.210349
1709,0.607524
1710,0.468913
1711,0.256134
1712,0.187549
1713,0.122907
1714,0.170904
1715,0.255169
1716,0.308262
1717,0.424555
1718,0.46038
1719,0.475408
1720,0.366171
1721,0.420561
1722,0.498486
1723,0.47968
1724,0.374658
1725,0.340397
1726,0.315749
1727,0.582665
1728,0.551856
1729,0.519827
1730,0.526322
1731,0.304801
1732,0.240688
1733,0.2673
1734,0.532335
1735,0.475546
1736,0.458799
1737,0.312681
1738,0.274423
1739,0.296185
1740,0.415799
1741,0.286043
1742,0.267696
1743,0.263428
1744,0.207994
1745,0.281263
1746,0.211433
1747,0.1277
1748,0.561875
1749,0.358137
1750,0.354946
1751,0.48473
1752,0.389693
1753,0.282335
1754,0.400516
1755,0.383204
1756,0.387029
1757,0.35497
1758,0.35497
1759,0.516782
1760,0.346881
1761,0.424756
1762,0.351491
1763,0.317439
1764,0.337748
1765,0.315036
1766,0.293289
1767,0.214602
1768,0.162634
1769,0.62156
1770,0.325711
1771,0.422842
1772,0.353422
1773,0.366461
1774,0.486404
1775,0.385584
1776,0.451381
1777,0.380887
1778,0.389994
1779,0.495739
1780,0.513761
1781,0.524959
1782,0.366138
1783,0.366138
1784,0.528887
1785,0.49501
1786,0.398879
1787,0.392182
1788,0.417013
1789,0.44249
1790,0.371021
1791,0.461537
1792,0.412904
1793,0.335554
1794,0.309273
1795,0.385612
1796,0.388933
1797,0.421084
1798,0.245604
1799,0.208512
1800,0.245192
1801,0.279354
1802,0.263676
1803,0.531497
1804,0.516017
1805,0.516017
1806,0.342659
1807,0.342659
1808,0.345376
1809,0.507491
1810,0.487258
1811,0.469005
1812,0.353659
1813,0.343575
1814,0.444368
1815,0.374231
1816,0.374197
1817,0.374197
1818,0.520623
1819,0.487279
1820,0.463977
1821,0.467237
1822,0.475266
1823,0.340037
1824,0.431689
1825,0.392338
1826,0.377578
1827,0.37677
1828,0.303983
1829,0.426803
1830,0.381958
1831,0.387355
1832,0.566032
1833,0.59944
1834,0.291555
1835,0.617117
1836,0.61596
1837,0.659206
1838,0.589768
1839,0.342463
1840,0.306277
1841,0.482191
1842,0.264884
1843,0.460815
1844,0.507541
1845,0.258335
1846,0.319889
1847,0.477518
1848,0.418333
1849,0.353124
1850,0.423123
1851,0.37707
1852,0.464655
1853,0.368691
1854,0.358739
1855,0.426943
1856,0.35493
1857,0.262898
1858,0.18534
1859,0.125639
1860,0.509357
1861,0.459036
1862,0.335806
1863,0.341764
1864,0.387449
1865,0.461913
1866,0.38377
1867,0.450696
