pol	phi	weight
-0.348731	-1.08956	1
0.333639	113.213	-0.047619
-0.353418	173.163	1
0.327636	-80.9203	-0.0380952
-0.326851	-59.9577	1
-0.325274	-59.9577	-0.047619
0.340589	102.672	-0.047619
0.330667	173.591	-0.0285714
0.321475	156.485	-0.0380952
0.347766	123.547	-0.047619
0.321475	-166.727	-0.0380952
0.336527	3.27197	1
0.320416	-167.238	1
0.346189	-102.497	1
0.318361	-88.2313	-0.047619
-0.329985	-80.9373	1
-0.354292	-130.819	-0.047619
-0.331541	-130.819	1
-0.348731	-146.92	-0.047619
-0.349878	125.593	1
-0.344906	85.9512	1
0.316796	30.82	1
-0.33463	120.324	1
0.341852	110.964	1
-0.343519	177.55	-0.047619
-0.354292	-42.0802	-0.047619
-0.354292	-42.0802	1
-0.333092	157.374	1
0.327636	-93.7803	-0.047619
-0.354291	-36.6209	1
0.346189	-137.161	1
0.34778	-66.6888	1
-0.328419	11.6827	-0.047619
0.335093	100.66	-0.0380952
0.333639	100.66	-0.0380952
0.333639	40.0438	-0.0380952
0.343922	117.436	1
0.351509	-96.4029	-0.047619
0.330847	-96.4029	1
-0.352424	-103.573	1
0.33235	33.1291	1
0.350285	-121.74	-0.0380952
-0.331123	128.066	1
0.335419	103.937	-0.0714286
-0.338733	-53.3016	-0.0380952
-0.346993	-53.3511	-0.047619
-0.35111	81.771	1
0.351509	-22.451	-0.0380952
