,toybin0000,toybin0001,toybin0002,toybin0003,toybin0004,toybin0005,toybin0006,toybin0007,toybin0008,toybin0009
155,0.311447,-0.164504,0.510265,0.587505,0.473572,0.728003,0.535081,0.685141,0.634752,0.314982
156,0.309331,0.348189,0.661399,0.478182,0.269567,0.574476,0.261513,0.662457,0.0963079,0.48896
157,0.326541,-0.0803087,0.457526,0.764321,0.310571,0.70629,0.511124,0.192968,0.0815361,0.308282
158,0.58651,0.296922,0.899939,0.323534,0.352191,0.882635,0.226353,0.505437,0.0532868,0.480069
159,0.206911,-0.0524084,0.82784,0.727141,0.606118,0.915075,0.588621,0.323984,0.107359,0.255043
160,0.230931,0.156374,0.711352,0.430851,0.191917,0.812139,0.0722768,0.649738,0.0572748,0.607578
161,0.351386,0.0791768,0.845681,0.550637,0.400182,0.448022,0.517175,0.255123,0.0434228,0.273956
162,0.293768,0.203515,0.606466,0.640944,0.266477,0.796888,0.544636,0.576534,-0.0496873,0.415096
163,0.791739,0.0689227,0.649932,0.746252,0.512674,0.748191,0.444634,0.554641,0.0924724,0.417078
164,0.805355,0.115374,0.644007,0.845096,0.282007,0.774426,0.363431,0.501975,0.203868,0.360913
165,-0.268678,0.531247,0.501149,0.169424,0.624082,0.832033,0.658863,0.618752,-0.185336,0.263071
166,-0.139612,-0.486569,0.492231,0.873074,0.127,0.439709,0.616363,0.152508,0.280644,0.279856
167,-0.0452126,0.602607,0.675603,0.218821,0.586885,0.846491,0.606815,-0.109134,-0.0988598,0.597197
168,0.636879,0.00686482,0.580328,0.798782,0.0652157,0.804152,0.142285,0.457205,0.238997,0.70642
169,-0.0249671,-0.172783,0.287942,0.657101,0.787398,0.472209,0.965335,0.665412,0.0801192,-0.0149634
170,0.87488,0.462622,0.744536,0.493178,-0.0265065,0.117779,0.0975236,0.402724,0.0154856,0.732888
171,0.677869,-0.18458,0.708926,0.579627,0.0453238,0.952545,0.713197,0.509652,-0.168878,0.608748
172,-0.0707091,0.265641,0.618518,0.446983,0.669085,0.991192,0.455178,0.420601,0.215431,0.432569
173,0.49818,0.304661,0.555521,0.494298,0.141247,0.994219,0.355959,0.716062,-0.0716327,0.381062
174,0.212744,-0.152635,0.417013,0.524106,0.565652,0.985324,0.600192,0.799906,0.167,0.478026
175,0.236695,0.290715,0.651037,0.567611,0.245327,0.989985,0.00350343,0.90144,-0.00860769,0.65331
176,0.159595,0.233908,0.632465,0.639819,0.526687,0.936796,0.812984,0.693092,0.225094,0.603531
177,0.395886,0.0288044,0.690531,0.607655,0.792404,0.426854,0.179793,0.406668,-0.0808663,0.158708
178,0.222543,0.200526,0.823833,0.5507,0.602266,0.844783,0.744104,0.451357,0.138954,0.564935
179,0.453351,0.12585,0.244037,0.526616,0.450445,0.938406,0.131753,0.723453,0.109679,0.495586
180,0.0853004,0.0956662,0.802329,0.319092,0.292547,0.247182,0.697333,0.483385,0.196184,0.518656
181,0.426428,0.15708,0.577115,0.725861,0.508398,0.952127,0.598765,0.470026,0.0206721,0.544106
182,0.649997,0.092038,0.453298,0.364644,0.527444,0.959039,0.473409,0.531822,0.1367,0.202747
183,0.409876,0.375618,0.689841,0.660543,0.174775,0.975646,0.596204,0.375059,0.249529,0.574778
184,0.566346,0.429183,0.220051,0.497095,0.585151,0.884289,0.287516,0.820943,0.461011,0.672549
185,0.170929,0.202863,0.785815,0.541458,0.410376,0.337404,0.480984,0.944805,-0.0797124,0.263152
186,0.846437,0.0423567,0.732374,0.773755,0.417294,0.90727,0.589979,0.936575,0.206981,0.561908
187,-0.225804,0.227181,0.319794,0.309974,0.278139,0.766489,0.265828,0.696364,0.382715,0.305942
