,ebin00costbin00,ebin00costbin01,ebin00costbin02,ebin00costbin03,ebin00costbin04,ebin00costbin05,ebin01costbin00,ebin01costbin01,ebin01costbin02,ebin01costbin03,ebin01costbin04,ebin01costbin05,ebin02costbin00,ebin02costbin01,ebin02costbin02,ebin02costbin03,ebin02costbin04,ebin02costbin05
107,-0.170759,-0.521287,-0.629521,-0.681791,0.242133,-0.0646319,-0.367426,-0.118388,-0.504984,0.40684,-0.131006,-0.100706,0.600899,0.125557,0.196137,-0.421698,0.194435,0.342843
108,-0.512583,-0.0325721,0.541725,-0.825229,-0.505182,-0.151827,-0.644291,-0.274431,-0.115754,0.0676559,-0.245502,0.311345,-0.172473,0.481711,-0.141807,-0.508493,-0.106879,-0.773752
109,-0.573728,-0.448473,-0.437891,0.0907902,0.264979,-0.387655,-0.520946,-0.221817,-0.513754,0.426435,-0.27536,-0.0635059,0.131799,0.242422,0.0852409,-0.255308,0.390849,-0.352471
110,-0.876482,-0.282093,-0.485501,-0.246316,-0.15149,-0.0713355,-0.852449,-0.325953,-0.136569,0.0790424,-0.679482,0.220966,0.557675,0.374024,-0.463793,-0.503666,-0.0252243,0.144992
111,-0.0414276,-0.367221,0.307202,-0.328241,0.0124011,-0.146817,-0.741784,-0.112169,-0.624452,-0.177301,-0.623317,-0.423452,0.843148,0.121189,0.0125,-0.657924,0.0869704,-0.646622
112,-0.915215,-0.246387,-0.0111221,-0.254359,-0.224871,-0.534725,-0.568429,-0.0474706,-0.169803,0.405998,0.12304,-0.118682,0.0447277,0.162364,-0.0786338,-0.295656,0.0266934,-0.487136
113,-0.146292,0.371604,-0.524635,-0.280845,0.0471455,-0.20533,-0.592333,-0.10613,0.195185,-0.0757729,-0.245327,-0.556441,0.612651,0.299277,0.171968,-0.51347,0.231395,-0.565107
114,-0.613521,-0.267202,0.426161,-0.19846,-0.266197,-0.19409,-0.796136,-0.215242,-0.660518,0.271401,-0.057186,0.631501,-0.0736841,0.0813671,-0.0537495,-0.657003,0.027305,0.00749358
115,-0.607795,-0.413197,-0.49739,-0.42772,-0.141245,-0.176543,-0.487944,-0.0494669,-0.560359,0.0169939,-0.399013,-0.526482,0.470655,0.141516,0.0274259,-0.44916,0.192314,-0.29319
116,-0.645333,-0.251539,0.138878,-0.443033,-0.0668965,0.115648,-0.290078,-0.2203,-0.139091,0.183721,-0.445427,0.625716,-0.0171602,0.183401,0.0160695,-0.66858,0.0243971,0.539688
117,-0.477671,-0.489983,-0.217745,0.0304218,0.00647161,-0.050557,-0.442299,-0.246215,-0.46015,0.165565,-0.216109,-0.580953,0.721377,0.229259,0.149759,-0.898046,0.0217109,-0.89676
118,-0.850589,0.0370725,0.111975,-0.610559,-0.246657,-0.104719,-0.576641,-0.183691,-0.189635,0.0734454,-0.146892,0.366722,-0.141745,-0.171945,-0.0315168,-0.91254,0.0655109,0.0497521
119,-0.162818,-0.652575,-0.159053,-0.327947,-0.158588,-0.136644,-0.475439,-0.156414,-0.563552,0.328067,-0.363787,-0.304765,0.4479,0.538512,-0.0903457,-0.436134,-0.339855,-0.10059
120,-0.833489,-0.231947,0.12113,-0.260664,0.0149912,-0.243984,-0.541959,-0.474374,-0.355777,0.0511516,-0.178506,0.480302,0.406277,-0.0476402,-0.150685,-0.484497,0.457364,-0.28099
121,-0.480069,-0.568825,-0.130519,-0.412943,-0.0144736,0.133658,-0.535187,-0.12808,-0.58203,0.374527,-0.254033,0.356189,0.211484,0.409876,0.167246,-0.646358,-0.27807,-0.475334
