,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,a[1],a[2],a[3],a[4],b[1],b[2],b[3],b[4],sigma_bkg,a_bkg[1],a_bkg[2],a_bkg[3],a_bkg[4],b_bkg[1],b_bkg[2],b_bkg[3],b_bkg[4]
1960,-4.57972,0.921113,0.569286,3.0,7.0,0.0,12.9649,0.0175586,0.0553106,-0.0471146,-0.110776,-0.0702955,-0.0522157,0.101229,-0.219036,-0.0716359,0.0930954,0.0798924,0.0433641,0.0609081,0.0122118,-0.0884981,-0.0898924,-0.0940592,-0.00328565
1961,-7.40051,0.976685,0.569286,3.0,7.0,0.0,10.8038,-0.0657454,0.0869385,-0.0740241,-0.096668,-0.119097,-0.0370399,0.0700539,-0.229661,-0.101298,0.0813321,0.0522021,0.043745,0.106008,0.0234297,-0.0923413,-0.0705871,-0.126704,-0.0431722
1962,-3.6968,1.0,0.569286,3.0,7.0,0.0,12.9498,-0.18972,0.0819429,0.132256,0.080088,0.0301559,-0.0989284,0.011613,-0.0247535,0.0624347,-0.642272,-0.0395977,-0.0632953,0.0346878,-0.141133,-0.105208,-0.0652099,0.0846849,-0.00497016
1963,-5.21994,0.833605,0.569286,3.0,7.0,0.0,13.7041,-0.307119,0.0269621,-0.0181943,-0.175205,-0.021211,0.0293586,0.0954223,-0.156195,-0.067543,0.12839,0.0260668,-0.122899,0.064441,0.0127714,-0.0791896,0.0156762,-0.0838247,0.0547962
1964,-0.880255,0.978029,0.569286,3.0,7.0,0.0,12.1191,-0.136617,0.0989171,0.0354658,-0.0363289,-0.105236,-0.0456876,0.0656043,0.013469,0.0276484,-0.195245,0.0482557,0.0206148,-0.0142431,-0.110911,-0.166834,-0.0869901,0.0364367,-0.00842704
1965,-2.23311,0.884618,0.569286,3.0,7.0,0.0,8.9158,-0.429672,0.0456702,-0.00785431,-0.0504237,0.112388,-0.0850282,-0.0309906,-0.190686,-0.0139303,-0.372092,-0.0214008,-0.05723,0.126051,-0.027882,-0.0309376,0.00931535,-0.0758543,0.0746439
1966,-2.49043,0.982952,0.569286,3.0,7.0,0.0,8.63517,-0.111908,0.0617521,0.00853402,-0.0223167,-0.0835496,-0.0333081,0.0748632,0.0443478,0.0244199,-0.0471661,0.0805254,0.0126427,-0.0148304,-0.123021,-0.155036,-0.154255,0.0430773,0.00399015
1967,-4.28584,0.814021,0.569286,3.0,7.0,0.0,11.7006,-0.11022,0.0447785,0.0520764,-0.133429,0.110854,-0.127502,-0.0651311,-0.162523,-0.0612884,-0.148451,-0.0549551,-0.0403291,0.15444,-0.0304379,-0.0333703,0.0429608,-0.0363658,0.0518925
1968,-2.03976,1.0,0.569286,3.0,7.0,0.0,9.39224,-0.217455,0.0735665,-0.0195225,0.015374,0.0204934,0.0163472,0.0240624,-0.168132,-0.0384065,-0.373588,0.0910754,0.0485812,0.0402748,-0.11369,-0.101661,0.0963676,-0.00386807,0.0607559
1969,-3.91422,0.856609,0.569286,3.0,7.0,0.0,10.232,-0.168793,-0.00795275,-0.0419346,-0.0714888,-0.0245917,-0.110328,0.0591784,-0.0774637,-0.0155074,-0.114125,-0.0423173,-0.115801,0.124524,0.00713802,-0.0241721,-0.229768,-0.0528064,0.0786298
1970,-1.03775,0.924545,0.569286,3.0,7.0,0.0,10.1751,-0.240743,0.0958583,-0.00504324,-0.0594045,0.111302,-0.0207605,-0.0801653,-0.059076,-0.0208679,-0.376223,0.0149907,0.0321577,0.08703,-0.0983194,-0.196069,0.0404885,-0.0376156,-0.0359273
1971,-0.630964,0.892251,0.569286,3.0,7.0,0.0,8.66327,-0.0191,0.058696,0.0186331,0.0121084,-0.0754303,-0.0936814,0.0970967,-0.0746169,-0.0194636,-0.349694,0.00506545,-0.0553387,0.0544955,-0.0401099,-0.0049937,-0.16066,-0.00664235,0.098146
1972,-0.826699,0.792854,0.569286,3.0,7.0,0.0,9.80018,-0.38278,0.0678477,0.0313068,-0.104291,0.141273,-0.039362,-0.0421499,-0.0853231,0.0140779,-0.412421,0.0146394,0.00458796,0.0898774,-0.102384,-0.180353,0.0268642,-0.0353501,-0.0143863
1973,-2.141,0.652066,0.569286,3.0,7.0,0.0,13.8115,-0.338909,0.110632,0.0486112,-0.117784,0.0736678,-0.0807221,-0.0528801,-0.0737861,0.0636502,-0.456851,-0.0462125,-0.0108501,0.0240889,-0.116173,-0.127274,-0.03896,-0.0516431,-0.113148
1974,-0.764583,0.941245,0.569286,3.0,7.0,0.0,7.50182,-0.0767545,0.0034476,0.00202333,0.0358936,-0.0318108,-0.0445963,0.094139,-0.0490768,-0.0619212,-0.183742,0.0907584,-0.0133125,0.0986132,-0.0361688,-0.0632601,-0.0811687,0.00455993,0.154231
